A1SNEGAF,A1SSATIS,A1PA44,A1SEMA
1,7.375,999,3.393
1.167,7.25,999,2.464
1,8.125,999,2.25
1,8.667,999,3.536
 , ,999, 
3,5.75,999,2.75
1.167,6.25,999,2.571
2.333,7.125,10,1.679
1.333,7.875,999,2.071
1.833,7.75,999,3.25
1.333,8.125,999,3.821
1.167,9.5,20,3.607
1.333,5.25,999,3.429
1.333,7.333,999,3.964
1.333,9,10,3.964
1.833,5.25,999,2.25
 , ,999, 
1.333,8.625,999,3.536
1,8.75,20,2.571
2,7,999,3.964
1.333,7.25,999,2.429
1,7.75,999,3.536
1.5,8.25,999,2.429
1.333,7,10,1.929
1.667,7.625,20,3.964
1,10,20,3.964
1.167,7.375,999,2.214
1.333,6.25,10,2.643
 , ,999, 
1,9,999,3.821
1.333,6.75,999,2.75
1.5,6.375,999,3.679
1.333,7,20,3
1.167,8.5,999,3.286
1.833,6.25,999,1.214
1,8.375,999,3.571
1.5,6.625,999,2.75
1.333,8,999,3.321
 , ,20, 
1,8.25,999,2.607
1.333,8.375,999,3.75
1,7,999,3.679
1.167,8.75,999,3.536
 , ,30, 
1.333,8.125,999,1.929
1.333,6.75,20,2.607
1.667,7.333,999,3.179
1.167,9,40,9
1,8.5,999,3.857
3.333,5.5,999,3.571
3.667,5,999,3.286
2,8.125,40,3
1,8.375,999,3.286
 , ,999, 
1.167,7.75,30,3.571
1.667,7.75,999,3.286
1,7.25,25,1.929
1.5,7,999,3.536
1.833,5.75,40,3.429
1.167,8.75,30,3.964
1.833,6.625,999,2.75
1.167,8.375,999,3.679
1.833,9,999,3.536
1.5,5.25,30,2.714
1,7.625,999,3.036
1.667,6.25,30,3.964
1.333,7.875,999,3.964
 , ,40, 
 , ,999, 
 , ,999, 
3.833,7.75,999,2.821
1.833,7.875,999,3.143
1,8,999,2.179
1.167,9,999,3.393
2.167,6.25,40,3.536
2.167,6.25,999,3.821
 , ,999, 
1.833,7.625,999,2.857
1.5,7.667,999,2.357
 , ,30, 
1.167,8.125,999,2.321
2.167,7.75,999,3.857
 , ,999, 
1.333,9.75,999,2.964
1,8,20,2.75
1.333,5.667,999,3.167
1.333,6.375,999,2.714
1.5,9,5,3.964
 , ,999, 
1,6,999,3.143
1.667,5.5,20,3.393
1.833,8.875,40,2.893
1,8,999,2.893
1.333,7.5,20,2.607
1.167,7.875,999,3.964
1,9,999,3.964
2,7.25,999,3.143
3,3.75,999,2.75
1.167,8.125,999,2.857
1,9.25,999,3.143
2,6.75,999,2.607
 , ,999, 
1,10,999,3.821
 , ,999, 
3.167,7.625,999,1.5
1.333,9,20,1.107
 , ,999, 
1.167,8.375,999,3.964
1.167,7.5,999,2.857
1.167,8,999,3.536
1.5,6.375,999,3.536
1,9.25,999,3.714
 , ,20, 
1.333,8.875,999,2.214
2,5.25,40,1.929
 , ,999, 
1.5,8,999,3.714
1,7.75,30,3.143
1.167,8.125,999,3.143
1.167,9.5,999,3.571
2.333,7.75,999,2.107
1,5.667,999,3.286
3.667,4.833,999,3.179
1.5,6.25,999,3.143
1.333,6.875,999,3.821
1,8,12,3.036
1.333,8.875,999,3.821
1,6.667,40,3.964
 , ,999, 
1.833,7.75,999,2.107
1.167,6.75,20,3.964
1.167,9.25,999,2.75
1.167,7.25,999,1.893
3,2.667,999,1.107
1.333,8,999,2.607
1.167,7.5,999,3.964
1.167,8.5,999,3.25
2.667,6.125,40,3.429
 , ,15, 
1,8.125,999,3.429
2,7,40,3.286
1.333,7.375,999,3
1,5.125,999,1.357
 , ,999, 
1.167,7.625,999,3.536
 , ,999, 
1.167,7.333,15,1.357
1,10,999,3.393
1.167,7.875,999,3.536
1.5,7.625,999,3.143
2.667,5.25,10,2.75
1.5,8.25,999,3
1.333,9.5,20,1.5
1,8.25,20,3.679
1,5.375,999,3.571
1.167,7.625,999,3.286
1.167,8,999,3.143
2,5.875,999,2.321
 , ,999, 
1,9,999,2.607
1,7.875,999,3.393
1.167,6.667,999,3.179
1,7.75,999,3.143
1,6.333,40,2.714
1.667,5.75,999,3.607
1.167,8.75,999,2.429
1,8.125,999,3.792
2.167,5.25,999,3.857
3.667,6.25,999,3.536
2.333,7.833,999,2.929
1.17,9.75,8,3.82
1.333,8.875,999,2.893
1.833,7.125,999,9
 , ,999, 
1.333,8.25,999,3.821
1.833,8,50,2.143
1.5,8.375,999,3
1,9.125,999,3.679
1.167,7.25,999,2.643
1,9.25,999,3.714
4.5,5.75,999,3.964
 , ,999, 
1.333,8.25,999,3.964
1.167,9.25,15,3.821
 , ,999, 
1.333,7.875,999,2.071
2,6.333,999,2.893
1,9.25,999,3.857
2.667,8.25,999,2.036
1.333,8.375,999,3.393
1.333,8.375,999,.964
1.667,7.375,999,2.857
1,8.125,999,3.964
1.167,9,999,3.321
1.667,7.5,999,3.821
1.333,9.5,10,3.964
2.833,4,999,3.536
1.5,8.125,999,3.286
1.333,8.75,97,3.036
1.167,9,999,3.821
1.167,8.625,999,2.607
2.833,4.333,999,3.286
2,7.75,20,3.679
1.333,7.75,999,1.929
1,7.5,999,3
1.167,9.125,999,2.286
2,6.25,999,3.036
1,6.5,997,3.857
1,5.375,999,3.964
1,9,999,3.964
1.5,7.333,20,2.214
1.667,7.667,20,3.429
2.5,5.25,999,3.286
1,8.375,999,3.714
1,8.667,999,3.821
1.167,7.5,40,2.321
1,9.667,999,2.107
1,7.25,999,3.286
1.167,9.375,999,2.857
1,8.875,999,3.714
3.167,5.75,999,3.143
 , ,999, 
1,8.125,999,2.607
1.333,9.125,999,2.357
1,8.25,999,3.536
1.5,8.25,20,3.036
1.833,7.5,40,3.571
1.167,9.5,999,1.75
 , ,999, 
1,8,30,3.464
1.333,8,40,3.571
 , ,999, 
1,8.5,999,3.964
1.167,8.75,999,3.679
 , ,999, 
1,7.875,999,3.536
1.333,7.75,999,2.607
1.333,8.5,20,1.929
1,7.875,2,2.75
1.667,7.5,999,2.893
1,9.333,999,3.964
1.667,6.25,999,3.571
1.333,9.375,999,2.821
3.333,8,20,9
1.667,5.625,999,3.143
 , ,999, 
 , ,999, 
 , ,999, 
1.167,7.833,999,3.964
5,4.375,999,2.917
 , ,60, 
1.5,5.667,999,2.607
1,7.375,999,3.821
1.5,7.75,999,2.643
1.667,9,999,3.964
1.667,4.625,999,3.464
1.167,7,999,2.071
2.167,6.375,1,3.571
1.167,9,999,9
1.167,7.75,999,2.643
1,9,999,3.679
1.333,8.875,40,3.286
1.667,7.875,20,2.214
1,9.5,999,3.75
1.167,7,20,3.143
1.333,7.625,20,3.429
2,5,20,3.464
1.333,6.5,999,2.607
3.167,2.25,60,2.643
1.5,5.875,25,3.857
1,8.5,999,3.143
1.667,7.75,999,3.714
 , ,999, 
1.167,9.25,999,3.821
3,8,999,3.143
1,8.375,999,3.964
2.5,8.75,999,3.964
1.167,9.375,999,2.321
1,8.375,999,3.286
3.167,7.5,999,3.821
2.167,5.875,999,2.714
3,6.5,999,.964
1.333,8.25,999,3.821
1.167,9,999,3.571
1.167,8.375,999,1.929
1.333,7.75,999,3.821
2.667,4,997,3.429
1.333,9.5,999,2.464
1,6.75,20,3.821
2.333,7.375,999,3.964
1,9.125,999,3.964
1,8,999,2.179
1.167,7,999,3.571
1,7.25,999,3
1.333,10,999,2.893
1.667,8.333,999,3.821
1.167,9.25,999,3.429
2.667,6,999,3.143
2.333,7.75,999,3.286
1,8.25,999,3.821
 , ,40, 
2.5,6.375,999,3.286
1.5,8.625,999,2.321
1.5,8.25,999,3.143
1.833,6.75,999,2.321
1.167,7.875,20,3.036
 , ,30, 
2.167,7.333,10,3.429
1.167,7,999,1.929
1,8.25,999,3.107
2.167,8.5,20,3.714
2,5.667,999,2.607
 , ,999, 
1.5,8,999,2.607
1,8,999,2.607
 , ,999, 
1.667,9.375,999,2.964
1.333,8.375,999,3.036
 , ,30, 
2.5,5.75,10,1.071
1,8.5,999,3.286
1.5,7,999,2.714
1,7.5,999,2.857
1,8.667,999,3.964
1.833,7.25,999,1.393
 , ,999, 
1.333,6,999,3.625
 , ,999, 
1.5,7.375,999,3.393
2,7,999,3.179
1.5,5.875,999,3.179
2.333,6.625,30,3.821
1.167,7.25,30,2.5
1,7.75,999,3.286
1,9,999,3.714
1,8.5,999,3.714
1,7.5,40,1.929
1,7.5,999,2.321
1.333,7.5,999,1.393
 , ,999, 
1,9,999,2.357
1.5,8.125,999,3.964
1.333,4.333,999,3.429
1.167,8.375,999,3.429
1.833,8,999,3.25
 , ,999, 
2.167,5.25,999,2.036
1.833,7.625,999,3.143
 , ,20, 
1,6.5,30,3.964
2,4.667,999,3.143
1.167,6.5,999,3.964
1.167,8.667,999,3.429
1.5,7,999,3.464
1.667,8,999,3.714
1.667,7.625,999,2.357
1,7.375,999,1.929
1.167,7.25,999,3.429
1.833,7.125,999,2.321
2.333,6.625,999,1.929
1.833,6.75,999,2.75
1.833,6.5,999,2.571
1,9.625,999,3.286
1.833,9,999,3.679
1.167,9.75,999,3.857
1,8.125,999,3.571
1,8.625,999,2.75
1,9.25,999,3.821
 , ,999, 
1.5,7.125,999,3.25
1.333,8,999,3.393
1.5,7.375,999,2.036
 , ,999, 
1.833,7.625,999,2.179
1.667,8.25,999,3.393
1.333,8,999,2.607
1.833,7.25,999,3.964
1.333,7.75,999,3.036
2,7.667,999,3.792
1.333,6.125,40,2.464
2,8.125,999,3.536
1,9,999,3.958
1.167,7.875,60,2.429
1.167,8.5,999,2.464
2.833,6.875,999,1.25
1,8.5,999,3.429
1,9.25,999,3.714
1,7.75,999,3.857
1.167,7.5,999,2.857
1.167,6.375,999,2.75
1.833,7.75,999,2.893
1.5,6.5,999,3.429
2,5.75,30,2.607
1.167,6.875,999,3.286
 , ,999, 
1,8,999,1.929
2,7.75,999,2.5
 , ,999, 
1.833,7.125,999,2.75
1.167,8.667,40,2.214
2,8,20,3.036
1,7.625,40,3.429
1.833,8,999,3.429
1,8.75,999,3.679
1.833,7.25,999,3.321
1.167,7.375,999,3.429
1.833,7.25,999,3.143
1,8.25,999,3.143
1.167,8.75,999,3.036
2.667,6,999,1.607
1,8.5,999,2.607
1.167,7.375,999,3.214
1,8.375,999,3.286
1.5,8,999,3.964
1.5,7.667,999,2.75
 , ,999, 
2,7.75,999,3.143
1.167,7.75,999,3.571
1.333,7.75,20,3.679
1,9,999,3.714
1.167,8.875,999,3
 , ,999, 
1.5,9.25,999,3.679
1.333,9,999,3.286
1,6.875,999,2.464
1.667,8.375,999,3.286
1.333,9,999,3.179
1,7.75,999,3.857
 , ,80, 
1.333,9,999,2.464
1.333,8.5,999,3.857
1,8,999,2.857
1,8.5,999,3.286
1.167,7.667,999,3.964
 , ,999, 
1.167,8.667,999,3.821
1.5,6.125,999,3.964
1,7.75,999,2.036
1,7.5,20,3.143
1.5,8.25,999,3.964
 , ,999, 
2.167,6.667,999,3.25
 , ,999, 
1.333,7.25,40,3.429
 , ,999, 
1.333,9,999,1.929
1.167,7.75,999,3.821
1.833,7.875,999,3.321
 , ,50, 
 , ,999, 
1.333,6,999,3.286
1,6.75,999,3.964
1.5,7.625,999,3.179
1.167,6,999,3.429
2.167,8.375,20,2.893
2.167,6.625,999,2.5
1,8.875,999,3.571
1.833,6.125,999,2.893
1,8.5,999,3.964
1.8,8.25,999,3.286
1.5,9.25,999,3.964
1,9.25,20,3.679
1.5,7.375,999,3.429
1.833,7.625,999,1.929
1.667,8,999,3.071
1,9.25,999,2.5
1,9.875,999,3.571
 , ,999, 
1,8.5,999,2.714
1.333,7.375,999,2.214
2.667,7,999,3.393
1.333,8.75,999,3.429
1.167,7,999,2.464
1.333,7.5,999,3.107
1,7.667,999,3.393
3.167,7.125,97,2.464
1.833,8.25,999,1.75
1.333,8,20,3.964
1.5,8,999,3.429
5,6.5,999,1.25
1.667,7.5,999,3.571
1.667,7,999,2.321
1.833,8,20,3.958
1.167,7.875,999,3.143
1.167,6,999,3.679
1.333,7.875,999,3.964
1,7.625,30,1.786
1.5,6.667,70,9
1.333,7.875,999,2.5
1,9.75,999,3.821
2,6.5,999,2.607
 , ,999, 
1.5,7.667,999,2.464
1,9.25,999,9
 , ,999, 
1,8.75,999,3.964
1.333,8.25,999,2.893
1.667,8.375,999,2.75
1.333,8,40,3.107
 , ,8, 
1.167,9,999,3
2,6.875,999,3
1,7.875,999,3.679
1,8,999,3.964
 , ,999, 
1.833,7.333,999,3
1.167,8.375,12,3
1.667,9,40,1.786
1.333,9.333,999,3.714
 , ,999, 
1.167,8,999,3.036
2,5.25,80,3.042
2.5,7.5,20,1.786
1.167,6,20,3.536
1.667,8.75,999,3.964
 , ,999, 
1.333,8.75,999,3.821
1.5,7.375,999,3.107
 , ,40, 
1.167,8.375,999,3.429
1,8.625,999,2.833
 , ,999, 
 , ,999, 
 , ,999, 
1,9,999,3.821
2.5,7.333,15,2.786
1.5,6.875,999,3.321
1.333,9.25,20,1.214
1.333,6.75,40,1.357
1.667,8,999,3.536
1.667,7,999,2.464
1,9,999,3.571
1.5,8,999,3.964
 , ,999, 
2.167,7.25,999,3.429
2.167,8.375,999,1.679
1,9.5,999,9
1,9.5,6,2.893
1.333,7.625,999,2.071
1.5,8.25,20,3.286
1,8.25,999,3.679
2,7.667,999,2.429
1,7,999,3.143
1.167,7.75,999,3.964
2,7.125,5,3.571
1,9.75,999,3.143
1.167,5,999,3
 , ,999, 
1.833,7.25,20,1.786
2,6.75,999,3.571
1.167,8.125,999,3.143
1,8,15,3
1.333,9.125,999,3.679
1,8.5,999,3.714
2.167,9.125,999,3.179
2,8.75,20,2.607
1.167,9.25,999,1.393
2.333,8.25,999,3.071
1.833,8.25,999,2.357
1,5.75,999,3.857
1.167,7.625,999,3.429
1,7,40,3.821
1.333,8.333,999,3.821
1.167,9.25,999,3.571
 , ,10, 
2.667,2.875,20,2.964
2.167,5,40,3.857
1.333,9.25,10,3.429
2.333,6.667,999,2.75
 , ,999, 
2.333,7.625,999,3.679
 , ,999, 
2.667,5.667,40,3.179
1,7.75,999,3.25
2.5,7.625,999,2.893
2.167,9,999,3.143
1,8.75,999,3.964
1.5,8.75,20,3.143
1,6,999,2.179
1.667,7.75,999,3.393
 , ,999, 
2.167,6.75,10,2.893
1,9,20,2.893
1,8.75,999,3.714
1.167,7.625,999,3.143
1.5,4,999,3.208
1.167,7.625,999,3.821
1.833,9,999,3.821
1.167,7,999,3.964
2.667,4,999,1.536
1,8,20,3.607
1.667,9.25,999,3.964
2,4.375,999,2.036
1.833,7.5,999,3.143
1.167,7.333,999,2.75
1,9.5,999,2.5
1,8.167,999,2.143
2.5,4.625,999,2.893
1.5,6.75,999,2.179
 , ,999, 
2,7.625,999,2.071
1.667,7.333,999,1.929
3,6,40,3.964
3,6.375,40,2.429
1,9.25,999,3.036
1.333,7,999,2.179
1.167,9.25,999,3
1,8.75,999,3.821
1.167,6.75,999,3.393
1,9.75,999,3.964
 , ,999, 
1.167,6,999,3.286
1.167,7.25,999,3.964
1.333,8,999,3.857
1.333,7.625,20,2.321
1,8.75,999,3.429
1.5,6.625,999,3.286
 , ,999, 
1.5,7.333,43,2.75
1.167,7,999,2.75
1.167,7.667,999,3.964
1,8.75,20,2.464
3,5.5,10,3.964
1.333,8.625,999,3.036
1.5,6.5,999,3.179
2.833,3.5,40,1.643
1.167,9,999,3.321
1.833,8.625,999,3.393
1,9,999,3.393
3.5,5.75,40,2.464
1.667,8.625,999,3.536
1,7.25,999,3.714
1,8.75,999,3.964
2.167,5,999,2.5
1,8.75,999,2.964
 , ,20, 
1.167,10,20,3
1.333,7,20,3.036
1.833,8,60,3.679
1,8.75,999,3
 , ,999, 
1.167,9.5,999,3.429
1.333,9,20,2.036
1.833,7,999,3.143
1.167,7.875,999,3.393
 , ,20, 
1,9.25,999,2.571
1,10,999,3.964
2,8.25,999,2.179
1,9.5,999,2.357
2.833,8,999,1.643
1.333,8.75,999,3.964
1.167,7,999,3.714
1,9.125,999,3.429
 , ,999, 
2,6.625,999,3.679
1.667,7,999,2.571
1.167,9,999,3.286
2.5,6,999,1.679
 , ,999, 
2.333,7.25,999,1.25
1.5,7.625,40,1.786
2,5.75,999,3.714
1.5,8.25,999,2.857
1,9.5,999,2.214
1,6.333,30,3.536
1.5,6.625,999,3.679
2,7,999,1.964
1.333,9.125,999,3.179
1.333,8.25,23,3.143
2,6.875,999,2.607
2,7.625,40,2.75
1.167,9.5,999,3.964
1.5,7,999,3.821
1.167,9,999,3.679
1,8,999,3.286
1,6.667,999,3.821
2.167,8.25,60,1.75
1,9,30,3.964
1,8.75,999,3.536
2.333,7.75,999,3.286
 , ,999, 
1.667,9,999,3.679
1.333,8.25,999,3.679
1.333,9.5,999,2.036
1,10,999,3.964
1,9.75,14,3.429
1,9,999,3.143
1.5,7.625,999,1.536
1.667,6.75,30,3.429
1.333,9,999,3
1.333,8.875,999,2.857
 , ,999, 
1.167,6,30,1.929
1.333,8.333,999,3.964
2.333,8,30,3.143
2.667,5.667,999,3.429
1.333,7.75,999,3.667
 , ,40, 
1.833,8.25,999,2.964
1.6,9.75,999,3.821
1.167,8.125,20,3.143
1.167,6.125,999,3.286
1.167,5.25,20,3.679
1.167,9.667,999,3.964
1,7.25,999,2.25
2,7.875,999,3.821
1,7,999,3.429
2.667,8.833,999,3.536
3.333,5.25,60,.964
1.333,4.333,999,2.643
2,7.125,999,3.821
1.5,8.167,20,3.179
1,7,999,3.071
2.5,0,999,2.571
1.667,7,999,3.821
 , ,999, 
1.667,8.125,999,2.214
2,6.25,999,2.714
1.333,9.25,999,3.714
3.6,8.25,999,3.143
1.333,7.75,30,3.179
1.167,9.5,999,2.893
 , ,999, 
 , ,999, 
1.333,8.25,999,1.536
1,6,20,3.143
2,7.875,999,3.179
2,7.25,17,3.25
1.667,8.75,999,3.429
1,8.625,999,3.536
2.667,6.25,999,2.607
1.333,6.625,4,3.821
1.333,9.25,999,3.821
1,9.375,999,3.821
 , ,40, 
1.167,8.333,20,3.964
1,9.25,15,3.857
1.167,7.125,40,3.964
3,3.5,60,3.679
 , ,999, 
1.5,7,999,3.25
1.167,7.625,999,2.464
 , ,999, 
1.167,9.25,999,3.821
1.333,5.5,999,2.321
1,8.5,5,2.464
1.167,9.5,999,3.679
1.833,7.5,999,2.857
 , ,20, 
 , ,999, 
2.167,7.5,40,1.929
1.333,7.5,999,3.964
 , ,999, 
2,9,40,1.786
3.167,6.5,999,2.321
2,6.75,60,1.786
1,9.875,20,3.964
1.333,6.875,999,3.536
1,9.5,999,3.821
 , ,999, 
1,6.375,999,2.179
1.167,7.25,999,3.464
1,9.75,999,3.143
3,4.333,40,2.071
1.333,8.75,999,3.714
2.167,6.75,999,3.571
1,10,40,3.964
 , ,30, 
1.667,5.75,30,2.607
1.667,7,999,3.857
1,8,999,2.643
1.5,8.5,999,3.571
1.5,8.25,999,3.536
4.167,10,40,3
1.5,8,999,3.964
1.167,9,999,3.571
1.167,8.75,10,3.964
4.333,4.5,999,1.893
1.167,9,999,3.964
1,9,999,2.036
1,6,20,2.071
1,8.75,999,3.286
1,7.625,999,2.571
1,7.5,999,2.179
1,7.75,10,3.821
2.667,7.25,999,3.143
1.667,7.75,999,3.286
 , ,999, 
1,6.75,999,3.393
1,9.25,999,3.75
1.167,8.625,999,3.571
1.5,9,999,3.286
1.167,8.5,999,2.607
2.333,8.625,20,3.321
2.5,4.75,999,2.036
2.167,9,999,3.179
1.667,7.333,999,2.75
 , ,999, 
1.667,7.75,999,2.607
1.333,7.625,999,2.929
1.333,8.167,999,3.536
1.333,7.25,999,3.286
1.167,6.875,999,3.536
1,6.333,999,3.036
1.333,8.333,999,3.536
2.333,5.75,999,3.964
1.5,7.5,25,3.464
1.167,8.625,999,2.857
1.833,8,999,3.429
1,8.5,999,3.429
1.667,7.875,999,2.071
2.5,7.625,999,3.429
 , ,999, 
1,8,999,3.964
1.5,6.667,999,2.179
1,7.625,999,1.893
1,7.875,999,2.714
1.167,9.5,999,3.143
3,3.333,13,.964
 , ,999, 
2,7,999,2.607
2.167,5.5,999,3.714
 , ,1, 
1,8.875,999,3.964
2.5,6.5,10,2.643
1.167,7.75,999,3.536
1.333,9,999,3.964
1,7.5,999,3.857
1.667,7.75,999,3.143
1,6.375,30,3.321
1,7.5,999,3.964
1.167,7,999,3.143
1.167,5.875,999,3.429
1,7,60,1.786
1,7.5,999,3.143
1.5,7.375,40,3.107
1,8.375,999,3.714
1.167,8.5,999,3.821
1.167,9,999,3.179
1.333,9.75,999,3.964
1,10,999,3.571
 , ,20, 
1,9,999,2.5
1.667,7.625,999,3.179
1.167,6.875,40,3
1.667,9,999,3.393
1,8.125,999,3.714
2.667,6.625,20,3.536
1,7,999,3.714
1,9,10,3.821
1.333,6.25,999,3.714
1,4.333,999,3.714
1,7.75,999,3.536
2.5,6.25,30,.964
1.167,7.125,20,3.286
1,8,999,3.964
1.833,6.625,999,3.143
1.833,5.5,999,3.393
1.5,6.25,999,2.607
2.5,6,15,2.893
1,10,40,3.536
1.333,6.5,999,3.714
1.333,7.5,15,3.857
1.167,9.5,999,3.964
 , ,999, 
1,8.25,40,3.536
1.333,8.5,999,3.964
1.333,7.625,999,3.5
1.333,8.75,999,1.75
1.5,5.333,999,3.321
2.333,5,999,9
1,9.125,999,3.179
1.667,7,999,1.929
1,8.375,999,3.429
2,7.25,6,3.964
2,9.25,999,2.5
1.667,5.125,999,2.357
3.167,5.125,40,2.179
3,5.25,20,2.143
1.167,10,999,3
1.833,7,30,2.607
1,10,999,3.964
1.5,6.625,999,2.893
1,8.125,999,3.714
1.167,8.333,999,3.536
1.167,7.375,999,2.75
1.167,8.375,999,3.321
1.333,7.667,20,3.143
2.333,7.667,999,3.536
1.667,8.125,999,3.714
3,9.125,40,3.036
1.167,7.5,999,3.464
2.167,5.75,999,3.821
2.167,7,999,3.286
3.167,3,999,1.393
1.333,9,999,3.821
1.333,6.25,15,3.429
1,7.625,999,3.429
1.333,7.25,999,2.893
1.667,8,999,2.321
1.833,6.667,999,2.214
1.667,8.5,999,3.964
1,10,999,3.964
2.5,7,999,3.393
1.667,6.125,999,3.679
1,8.5,999,3.857
1.167,8.75,999,3.964
1.333,7.5,999,3
 , ,999, 
 , ,999, 
1,7.125,999,3
1.833,7.625,999,3.821
1.667,8.25,999,3.964
1.333,8,999,2.708
2.5,7.125,999,1.786
1,6.75,999,3.464
2.5,7.5,999,3
 , ,999, 
1.667,6,999,3.536
1.333,7,999,3.393
 , ,999, 
1,8.833,999,3.964
1.333,7.75,999,3.679
2.167,9,999,3.964
 , ,20, 
3,1.333,999,3.857
1.833,6.125,999,3.536
 , ,999, 
1.833,7.667,999,3.286
1.667,8.5,999,1.786
1.333,8.125,999,3.714
1.333,7.5,999,3
1.5,6.75,999,2.857
1,8.875,20,1.25
1.167,6.75,999,3.393
1.167,7.875,999,3.679
1.667,8,999,2.071
2.167,7.25,20,3.536
1.333,8.75,999,3.429
1,8,999,3.143
1.333,6.5,999,2.607
1.667,8.5,999,3.536
1,8,999,3.429
1.5,7,20,3
1.167,6.667,999,3.964
1.333,8,999,3.679
 , ,20, 
1.5,9,999,3.429
2.167,7.25,999,3.679
1,5.75,999,3.143
1,8,999,3.607
1,8.25,999,3.679
1.167,9,999,3.821
2,5.375,20,2.929
2.667,7.667,999,3.964
1.833,7,4,3.393
1,7,999,3.179
 , ,999, 
1.5,5.75,999,3.679
2.167,7.5,40,2.071
1.667,6.625,999,2.429
1.167,8.25,999,3.821
1.5,9,30,3.821
3,5.5,999,1.357
1,8.25,999,3.821
1.667,7.25,999,3.429
1,9.333,999,3.964
1.333,7.5,30,2.214
1.333,9,999,3.286
1.333,8,999,3.393
2.167,7.667,999,3.714
1.333,6.625,999,3.679
1,8.375,15,3.821
1.167,9.25,999,3.571
1.667,8.125,999,3.143
2.167,6,999,3
1.5,3.5,30,3.429
1.167,7.667,999,3.964
1.333,9,999,3.393
1,9,999,3.286
2.167,7.667,999,3.607
1,9.5,999,3.964
 , ,999, 
1.833,7.5,999,3.679
1.167,8.75,999,3.143
 , ,40, 
2.667,5.333,30,3.036
1.5,3.875,30,3.571
1.167,8.25,999,3.321
 , ,999, 
1.167,9,999,3.393
1.333,8.5,999,3.964
1.833,7.125,999,2.071
1,9,999,3.821
1.167,6.75,999,3.143
2.167,10,999,3.964
1.333,8,999,3.714
1.167,9.375,999,1.5
2,7,40,2.333
1.667,8,40,3.964
1,8.75,999,3.571
1,8.875,999,3.964
1,7.875,20,3.821
1.333,9.25,999,3.821
2.167,7.667,999,2.214
1.667,7,30,3.964
1,8.75,999,2.321
1.667,8.875,16,1.536
3,5,999,1.5
1,9.5,999,3.964
1.167,7,20,2.607
1.333,9,999,3.464
1.833,7,999,3.964
 , ,999, 
1.667,6.25,999,3.536
1.5,9,25,3.964
3.5,6.333,20,2.714
 , ,999, 
1.333,9,999,2.75
1.167,8.5,999,3.821
1.5,7.125,999,3.714
1,8.625,999,3.821
1.5,8.5,999,2.893
2.667,7.5,20,2.75
 , ,999, 
2,8.375,999,2.321
1.333,9.75,999,3.143
1.833,8,999,1.393
1,8.625,999,2.643
2,6.125,999,3.679
1,9.5,999,3.571
1.333,7.333,999,2.357
1.5,7.125,999,9
2.667,7.25,20,3.25
1.833,8.125,999,2.786
1,8.333,999,3.964
1.167,7.5,999,3.143
1,9,999,3.821
1.167,8,999,3
2.167,7.125,999,3.036
1.333,5.25,30,3.958
1.5,6.75,999,1.5
 , ,999, 
3,8.25,999,3.321
3.833,5.125,20,3.321
1.5,5.875,999,3.036
2.667,4.875,999,2.714
1.667,8,999,3.964
1.5,6.667,999,3.536
1,7.375,999,3.429
1,8.875,20,3.429
1,8.875,35,3.571
1.833,6.667,999,3.679
2,4.75,999,2.036
2.5,3.5,999,1.786
1.5,7.25,999,3.964
2,5.875,999,3.321
1.833,8.5,999,2.5
1.5,8.875,20,3.571
3.333,5.333,60,3.429
1.667,9.125,999,3.821
 , ,999, 
 , ,999, 
1.667,9,999,3.643
1.333,8.625,999,2.357
2.833,9.25,30,2.321
1.167,7.625,999,3.143
1.167,8.375,999,1.786
1.333,7.75,999,3.821
1.333,7.333,30,3.286
1,7.625,999,2.321
 , ,999, 
1.667,8.333,40,3.571
 , ,999, 
1.333,8.875,999,3.25
1.167,7.75,10,3.464
1,9.125,999,3.679
1,7.25,999,2.607
1.167,9.5,999,3.964
 , ,999, 
1.167,8,50,3.429
2.167,7.125,999,3.536
1.833,10,999,3.857
 , ,999, 
1.333,7.875,20,3.821
1.333,8.375,999,2.179
1.333,7.5,999,3.429
 , ,999, 
1.333,8.625,999,3.679
1,7.333,999,2.679
 , ,999, 
1.667,7,999,2.071
1.667,8.5,999,2.357
1.333,8.625,999,3.821
1,7.25,999,3.607
1.833,7.5,999,3.429
1,8,999,3.964
1.333,9.25,999,3.536
1.833,7.625,999,2.714
1,6.125,999,2.857
1.5,5.333,999,3.071
1.333,7.125,40,3.286
1.5,7.375,999,2.286
2.6,4,999,2.75
1.167,7.875,999,3.571
1.167,8.25,999,3.536
3,7,999,2.321
1,8.625,999,2.179
 , ,999, 
1.667,8,999,3.679
 , ,999, 
1.667,7.375,999,3.821
1.667,7,999,3.179
 , ,999, 
1.833,6.125,999,2.75
1.333,8.333,15,3.964
2.667,7.75,999,3.964
1.167,8.25,999,3.571
1,8.375,999,3.679
1.5,9.25,999,1.786
1,9.25,999,2.857
 , ,30, 
1.333,8.5,999,3.25
1,8.5,999,3.821
1,7,999,2.071
1,9.75,999,2.714
1.167,7.167,999,3.107
1.667,7.375,999,3.036
2.333,7.667,999,3.964
 , ,999, 
1,8.625,999,3.821
1,9.125,999,3.143
1.333,8,999,3.143
1.5,8.5,999,1.679
1,7.75,999,3.286
2.167,5.667,999,3.321
1.333,6.875,999,3.143
1.833,6.667,999,2.893
