id,years,black,afro,primlev,seclev,nsecond,anysec,priorlev,nprior,anyprior,attract,babyface
185,1,0,2.48571,4,4,5,1,7,6,1,3.17143,2.65714
186,1.58,0,5,5,3,2,1,0,0,0,4.32353,4.41176
187,1.33,1,7.02857,8,4.4,5,1,0,0,0,2.65714,6.28571
188,1.92,1,6.64706,5,4,1,1,0,0,0,5.29412,3.97059
189,28.5,0,2.97143,10,9,2,1,0,0,0,2.6,4.94286
190,2.5,0,3.91176,7,6,3,1,0,0,0,3.05882,5.85294
191,1.33,1,5.28571,7,6.5,2,1,0,0,0,2.85714,3.54286
192,2.92,0,4.88571,7,0,0,0,0,0,0,2.8,2.82857
193,1.33,1,6,3,5,1,1,4.33,3,1,1.70588,3.70588
194,2.33,0,3.94118,5,4,6,1,2.5,8,1,3.76471,2.88235
195,8.83,0,3.44118,9,8.33,3,1,0,0,0,2.23529,4.94118
196,4.25,1,5.85714,9,4,1,1,9,1,1,2.54286,5.4
197,2,1,5.76471,7,4.33,3,1,0,0,0,3.55882,3.73529
198,3.58,0,5.57143,7,0,0,0,0,0,0,2.45714,4.71429
199,15.58,1,3.88571,8,4.86,7,1,0,0,0,2.94286,3.82857
200,2.08,0,5.05882,8,0,0,0,0,0,0,2.52941,4.41176
201,2.5,1,5.29412,9,5,4,1,0,0,0,3.02941,2.5
202,2,1,5.57143,8,0,0,0,0,0,0,3.11429,4.37143
203,56.08,1,4.47059,9,7.39,18,1,0,0,0,3.67647,4.79412
204,9.42,0,3.20588,5,5.33,41,1,0,0,0,2.94118,3.32353
205,9,1,6.68571,9,9,1,1,0,0,0,2.77143,3.28571
206,0.83,1,5.91176,5,3.17,6,1,0,0,0,3.85294,3.14706
207,1.92,0,2,6,6,1,1,4,1,1,2.05714,2.34286
208,2.42,0,3.23529,5,5,2,1,0,0,0,3.52941,5.11765
209,4.42,0,4.51429,9,3.33,3,1,0,0,0,2.14286,4.25714
210,3.25,0,3.64706,5,5.67,3,1,6,2,1,5.02941,4.38235
211,1.67,1,3.48571,7,6.375,4,1,0,0,0,2.14286,6.48571
212,5.92,0,3.51429,9,7,1,1,0,0,0,4.34286,2.48571
213,5.08,1,6.29412,6,4.5,2,1,0,0,0,3.08824,2.88235
214,0.92,0,2.70588,4,0,0,0,0,0,0,2.91176,3.20588
215,1.17,0,1.57143,6,0,0,0,0,0,0,3.28571,2.08571
216,1.25,0,4.65714,7,2,1,1,0,0,0,2.88571,4.71429
